City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
275,Inhambane,MZ,-23.86,35.38,87.78,66,40,16.11,scattered clouds
276,Marawi,PH,8.0,124.29,71.65,91,100,6.08,overcast clouds
277,Bambanglipuro,ID,-7.95,110.28,80.96,75,100,10.94,overcast clouds
278,Cozumel,MX,20.51,-86.95,69.78,73,49,8.05,scattered clouds
279,Fantanele,RO,46.12,21.4,37.51,81,40,6.91,scattered clouds
280,Muros,ES,42.78,-9.06,54.23,95,95,15.37,overcast clouds
281,Damghan,IR,36.17,54.35,46.58,37,0,1.99,clear sky
282,Grindavik,IS,63.84,-22.43,37.87,81,90,31.07,overcast clouds
283,The Valley,AI,18.22,-63.06,80.82,76,3,19.57,clear sky
284,Blyth,GB,55.13,-1.51,42.98,91,75,4.0,moderate rain
285,Lata,PT,40.16,-8.33,53.82,83,99,6.91,overcast clouds
286,Pevek,RU,69.7,170.31,-22.54,99,93,2.62,overcast clouds
287,Oriximina,BR,-1.77,-55.87,73.62,95,92,2.01,overcast clouds
288,Borogontsy,RU,62.67,131.17,-11.45,98,100,2.37,light snow
289,Namatanai,PG,-3.67,152.43,78.58,90,100,9.64,moderate rain
290,Saint-Philippe,RE,-21.36,55.77,86.11,70,1,12.97,clear sky
291,Jalu,LY,29.03,21.55,62.02,57,1,9.55,clear sky
292,Hanyang,CN,32.14,105.51,57.67,46,0,5.77,clear sky
293,Nanortalik,GL,60.14,-45.24,30.81,82,100,19.44,snow
294,Tall Kayf,TR,37.08,41.07,53.94,43,75,6.91,broken clouds
295,Koungou,YT,-12.73,45.2,87.51,66,20,6.91,few clouds
296,San Quintin,MX,30.48,-115.95,59.92,83,97,10.71,overcast clouds
297,Guider,CM,9.93,13.95,87.31,16,72,13.71,broken clouds
298,Boa Vista,BR,2.82,-60.67,78.78,73,0,8.05,clear sky
299,Tubinskiy,RU,52.89,58.22,30.34,93,100,13.58,overcast clouds
300,Mulege,MX,26.88,-111.98,67.1,42,76,3.0,broken clouds
301,Vila,PT,42.03,-8.16,43.32,90,89,7.47,overcast clouds
302,Bara,NG,10.37,10.73,83.21,20,99,10.58,overcast clouds
303,Bell Ville,AR,-32.63,-62.69,64.8,90,4,7.92,clear sky
304,Vao,NC,-22.67,167.48,77.23,85,100,16.96,overcast clouds
305,Awbari,LY,26.59,12.78,52.84,30,0,5.37,clear sky
306,Codrington,AU,-38.27,141.97,57.83,56,0,14.52,clear sky
307,Kuito,AO,-12.38,16.93,64.54,94,75,9.22,moderate rain
308,Antofagasta,CL,-23.65,-70.4,61.88,71,10,2.89,clear sky
309,Touros,BR,-5.2,-35.46,79.7,82,46,12.57,scattered clouds
310,Monte Alegre,BR,-2.01,-54.07,74.17,89,95,2.89,overcast clouds
311,Luanda,AO,-8.84,13.23,77.0,88,75,6.91,broken clouds
312,Kavieng,PG,-2.57,150.8,79.27,89,100,13.73,heavy intensity rain
313,Sibolga,ID,1.74,98.78,81.3,77,100,2.17,overcast clouds
314,Kongolo,CD,-5.38,27.0,81.37,72,96,3.87,light rain
315,Bamako,ML,12.65,-8.0,64.81,55,0,2.3,clear sky
316,Cayenne,GF,4.93,-52.33,74.08,93,75,0.0,broken clouds
317,Peleduy,RU,59.63,112.74,9.25,82,100,12.66,overcast clouds
318,Tucupita,VE,9.06,-62.05,70.88,98,95,2.37,overcast clouds
319,Stepnyak,KZ,52.83,70.78,27.86,78,99,11.65,overcast clouds
