City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
252,Esperance,AU,2021-12-04 02:21:09,-33.8667,121.9,68.04,50,0,14.16
253,Antofagasta,CL,2021-12-04 02:21:09,-23.65,-70.4,61.88,76,23,6.76
254,Nassau,US,2021-12-04 02:20:00,40.7507,-73.5829,41.7,58,1,1.01
255,Mahibadhoo,MV,2021-12-04 02:21:10,3.7833,72.9667,82.38,74,5,7.76
256,Zavodouspenskoye,RU,2021-12-04 02:21:10,56.8626,65.0155,25.02,92,22,7.18
257,Klaksvik,FO,2021-12-04 02:21:11,62.2266,-6.589,34.72,69,93,8.16
258,Port Lincoln,AU,2021-12-04 02:21:11,-34.7333,135.8667,63.64,56,37,11.18
259,Kabinda,CD,2021-12-04 02:21:11,-6.1333,24.4833,66.67,93,100,1.97
260,Denpasar,ID,2021-12-04 02:19:47,-8.65,115.2167,87.46,70,20,2.3
261,Marawi,PH,2021-12-04 02:21:12,7.9986,124.2928,73.65,79,98,4.18
262,Norman Wells,CA,2021-12-04 02:17:59,65.282,-126.8329,-41.76,66,20,3.44
263,San Ramon,US,2021-12-04 02:21:12,37.7799,-121.978,54.79,88,90,3.0
264,Chapais,CA,2021-12-04 02:17:44,49.7834,-74.8492,4.78,94,100,9.37
265,Batangafo,CF,2021-12-04 02:21:13,7.3008,18.2833,74.48,70,100,1.88
266,Odienne,CI,2021-12-04 02:21:13,9.51,-7.5692,73.56,44,31,3.51
267,Nabire,ID,2021-12-04 02:21:14,-3.3667,135.4833,86.79,66,89,5.21
268,Kavieng,PG,2021-12-04 02:21:14,-2.5744,150.7967,84.79,69,98,5.61
269,Yazman,PK,2021-12-04 02:21:15,29.1212,71.7446,59.63,26,0,7.85
270,Talcahuano,CL,2021-12-04 02:21:15,-36.7167,-73.1167,55.08,76,0,11.5
271,Vilhena,BR,2021-12-04 02:21:15,-12.7406,-60.1458,69.12,94,43,2.68
272,Erzincan,TR,2021-12-04 02:21:16,39.75,39.5,18.7,93,0,1.14
273,Ambilobe,MG,2021-12-04 02:21:16,-13.2,49.05,72.9,77,76,3.38
274,Plettenberg Bay,ZA,2021-12-04 02:21:17,-34.0527,23.3716,60.55,76,100,3.38
275,Tuktoyaktuk,CA,2021-12-04 02:21:17,69.4541,-133.0374,-25.6,68,1,6.91
276,Aitape,PG,2021-12-04 02:21:18,-3.1374,142.3475,84.15,78,87,6.8
277,Port Hedland,AU,2021-12-04 02:21:18,-20.3167,118.5667,111.25,8,16,16.11
278,Bathsheba,BB,2021-12-04 02:21:18,13.2167,-59.5167,81.21,78,40,16.11
279,Biltine,TD,2021-12-04 02:21:19,14.5333,20.9167,73.54,23,0,8.16
280,Nanfeng,CN,2021-12-04 02:21:19,23.7434,111.7959,61.88,26,18,2.82
281,Kaka,TM,2021-12-04 02:21:20,37.3482,59.6143,41.29,88,100,3.27
282,Ruidoso,US,2021-12-04 02:20:52,33.3317,-105.673,49.69,38,1,4.61
283,Fairlie,GB,2021-12-04 02:21:20,55.756,-4.8556,42.71,87,100,7.0
284,Yar-Sale,RU,2021-12-04 02:21:21,66.8333,70.8333,-8.66,94,100,9.28
285,Leningradskiy,RU,2021-12-04 02:21:21,69.3833,178.4167,4.35,85,100,16.02
286,Anadyr,RU,2021-12-04 02:21:21,64.75,177.4833,7.3,71,75,20.0
287,Ribas Do Rio Pardo,BR,2021-12-04 02:21:22,-20.4431,-53.7592,75.33,75,0,2.3
288,Erzin,TR,2021-12-04 02:21:22,36.9559,36.2,48.72,52,100,5.84
289,Tirumala,IN,2021-12-04 02:21:23,13.6833,79.35,66.38,73,36,2.35
290,Hibbing,US,2021-12-04 02:21:23,47.4272,-92.9377,28.0,46,1,11.5
291,Anchorage,US,2021-12-04 02:19:00,61.2181,-149.9003,6.19,86,90,3.44
292,Lasa,IT,2021-12-04 02:19:47,46.6166,10.7002,30.94,63,100,2.66
293,Salinas,US,2021-12-04 02:17:01,36.6777,-121.6555,55.92,78,90,6.91
